target,pred,og_idx,source,AI,xai_shap,xai_cf,xai_gradcam,xai_LLM
1,1,30,res/input/easy3_find_pattern_rot/30.png,res/AI/easy3_find_pattern_rot/30.png,res/xai_shap/easy3_find_pattern_rot/30.png,res/xai_cf/easy3_find_pattern_rot/30.png,res/xai_gradcam/easy3_find_pattern_rot/30.png,res/xai_LLM/easy3_find_pattern_rot/30.png
1,1,135,res/input/easy3_find_pattern_rot/135.png,res/AI/easy3_find_pattern_rot/135.png,res/xai_shap/easy3_find_pattern_rot/135.png,res/xai_cf/easy3_find_pattern_rot/135.png,res/xai_gradcam/easy3_find_pattern_rot/135.png,res/xai_LLM/easy3_find_pattern_rot/135.png
0,1,40,res/input/easy3_find_pattern_rot/40.png,res/AI/easy3_find_pattern_rot/40.png,res/xai_shap/easy3_find_pattern_rot/40.png,res/xai_cf/easy3_find_pattern_rot/40.png,res/xai_gradcam/easy3_find_pattern_rot/40.png,res/xai_LLM/easy3_find_pattern_rot/40.png
1,1,82,res/input/easy3_find_pattern_rot/82.png,res/AI/easy3_find_pattern_rot/82.png,res/xai_shap/easy3_find_pattern_rot/82.png,res/xai_cf/easy3_find_pattern_rot/82.png,res/xai_gradcam/easy3_find_pattern_rot/82.png,res/xai_LLM/easy3_find_pattern_rot/82.png
0,0,71,res/input/easy3_find_pattern_rot/71.png,res/AI/easy3_find_pattern_rot/71.png,res/xai_shap/easy3_find_pattern_rot/71.png,res/xai_cf/easy3_find_pattern_rot/71.png,res/xai_gradcam/easy3_find_pattern_rot/71.png,res/xai_LLM/easy3_find_pattern_rot/71.png
0,0,64,res/input/easy3_find_pattern_rot/64.png,res/AI/easy3_find_pattern_rot/64.png,res/xai_shap/easy3_find_pattern_rot/64.png,res/xai_cf/easy3_find_pattern_rot/64.png,res/xai_gradcam/easy3_find_pattern_rot/64.png,res/xai_LLM/easy3_find_pattern_rot/64.png
1,0,179,res/input/easy3_find_pattern_rot/179.png,res/AI/easy3_find_pattern_rot/179.png,res/xai_shap/easy3_find_pattern_rot/179.png,res/xai_cf/easy3_find_pattern_rot/179.png,res/xai_gradcam/easy3_find_pattern_rot/179.png,res/xai_LLM/easy3_find_pattern_rot/179.png
0,0,104,res/input/easy3_find_pattern_rot/104.png,res/AI/easy3_find_pattern_rot/104.png,res/xai_shap/easy3_find_pattern_rot/104.png,res/xai_cf/easy3_find_pattern_rot/104.png,res/xai_gradcam/easy3_find_pattern_rot/104.png,res/xai_LLM/easy3_find_pattern_rot/104.png
1,1,72,res/input/easy3_find_pattern_rot/72.png,res/AI/easy3_find_pattern_rot/72.png,res/xai_shap/easy3_find_pattern_rot/72.png,res/xai_cf/easy3_find_pattern_rot/72.png,res/xai_gradcam/easy3_find_pattern_rot/72.png,res/xai_LLM/easy3_find_pattern_rot/72.png
0,0,39,res/input/easy3_find_pattern_rot/39.png,res/AI/easy3_find_pattern_rot/39.png,res/xai_shap/easy3_find_pattern_rot/39.png,res/xai_cf/easy3_find_pattern_rot/39.png,res/xai_gradcam/easy3_find_pattern_rot/39.png,res/xai_LLM/easy3_find_pattern_rot/39.png
0,0,106,res/input/easy3_find_pattern_rot/106.png,res/AI/easy3_find_pattern_rot/106.png,res/xai_shap/easy3_find_pattern_rot/106.png,res/xai_cf/easy3_find_pattern_rot/106.png,res/xai_gradcam/easy3_find_pattern_rot/106.png,res/xai_LLM/easy3_find_pattern_rot/106.png
1,1,153,res/input/easy3_find_pattern_rot/153.png,res/AI/easy3_find_pattern_rot/153.png,res/xai_shap/easy3_find_pattern_rot/153.png,res/xai_cf/easy3_find_pattern_rot/153.png,res/xai_gradcam/easy3_find_pattern_rot/153.png,res/xai_LLM/easy3_find_pattern_rot/153.png
